GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Framework Petclinic,org.springframework.samples.petclinic,PetclinicInitializer,59,0,0,0,11,0,5,0,5,0
Spring Framework Petclinic,org.springframework.samples.petclinic.model,NamedEntity,3,10,0,0,1,4,1,3,1,3
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Specialty,0,3,0,0,0,1,0,1,0,1
Spring Framework Petclinic,org.springframework.samples.petclinic.model,PetType,0,3,0,0,0,1,0,1,0,1
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Vets,0,14,0,2,0,4,0,3,0,2
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Visit,0,27,0,0,0,12,0,7,0,7
Spring Framework Petclinic,org.springframework.samples.petclinic.model,BaseEntity,0,17,0,2,0,5,0,5,0,4
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Owner,65,73,7,3,18,22,7,12,3,11
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Pet,4,61,0,2,2,19,1,11,1,10
Spring Framework Petclinic,org.springframework.samples.petclinic.model,Vet,4,41,0,2,2,10,1,6,1,5
Spring Framework Petclinic,org.springframework.samples.petclinic.service,ClinicServiceImpl,0,59,0,0,0,18,0,10,0,10
Spring Framework Petclinic,org.springframework.samples.petclinic.web,OwnerController,0,142,0,10,0,36,0,14,0,9
Spring Framework Petclinic,org.springframework.samples.petclinic.web,PetTypeFormatter,0,44,0,4,0,10,0,5,0,3
Spring Framework Petclinic,org.springframework.samples.petclinic.web,PetController,12,100,4,6,3,27,4,10,0,9
Spring Framework Petclinic,org.springframework.samples.petclinic.web,PetValidator,10,31,3,5,2,9,3,4,0,3
Spring Framework Petclinic,org.springframework.samples.petclinic.web,VisitController,0,53,0,2,0,16,0,7,0,6
Spring Framework Petclinic,org.springframework.samples.petclinic.web,VetController,0,35,0,0,0,11,0,5,0,5
Spring Framework Petclinic,org.springframework.samples.petclinic.web,CrashController,0,8,0,0,0,2,0,2,0,2
Spring Framework Petclinic,org.springframework.samples.petclinic.util,EntityUtils,7,22,2,4,1,4,2,2,0,1
Spring Framework Petclinic,org.springframework.samples.petclinic.util,CallMonitoringAspect,83,0,4,0,24,0,9,0,7,0
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVisitRowMapper,0,27,0,0,0,6,0,2,0,2
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPetRepositoryImpl,8,122,0,2,2,30,0,6,0,5
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVetRepositoryImpl,0,76,0,4,0,17,0,4,0,2
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPetRowMapper,0,37,0,0,0,8,0,2,0,2
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,OneToManyResultSetExtractor,22,107,9,19,4,31,7,10,0,3
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,OneToManyResultSetExtractor.ExpectedResults,0,27,0,0,0,5,0,1,0,1
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVetRepositoryImpl.new BeanPropertyRowMapper() {...},0,11,0,0,0,2,0,2,0,2
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcVisitRepositoryImpl,5,106,1,3,1,25,1,5,0,4
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPet,3,14,0,0,1,6,1,4,1,4
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcPetVisitExtractor,0,29,0,2,0,8,0,5,0,4
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jdbc,JdbcOwnerRepositoryImpl,8,175,0,6,2,41,0,10,0,7
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jpa,JpaVisitRepositoryImpl,5,25,1,1,1,7,1,3,0,3
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jpa,JpaOwnerRepositoryImpl,0,52,0,2,0,11,0,5,0,4
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jpa,JpaVetRepositoryImpl,0,9,0,0,0,2,0,2,0,2
Spring Framework Petclinic,org.springframework.samples.petclinic.repository.jpa,JpaPetRepositoryImpl,0,31,0,2,0,7,0,5,0,4
